index_id,room_longitude,room_latitude,total_agent,floor_total,owner_gender,room_name,scope_name,estate_house_quantity,room_money,rf_kt,rf_src,rf_yg,rf_bx,rf_wsj,rf_cf,rf_rsq,rf_kd,rf_yt,rf_drc,rf_xzt,rf_pc,rf_xyj,rf_sf,rf_szt,rf_dsj,rf_unknow,zhuanzu,keduanzu,estate_name,puf_no,puf_bx,puf_xyj,puf_kd,puf_rsq,puf_cf,puf_wsj,puf_kt,puf_sf,puf_nq,puf_wbl,puf_kx,puf_dsj,agent_money,commission_price,area,fdxh_zxgl,fdxh_agj,fdxh_bxy,fdxh_bhj,fdxh_ds,fdxh_yh,fdxh_drz,fdxh_srz,fdxh_nvsheng,fdxh_nansheng,region_name,rent_type,only_girl,brand_type,subway_nums,subway_least_distance,decoration,floor,room_direction,hall_num,room_area,wei_num,business_type,is_zhongjie,room_num,pay_method,room_type
2741,120.213989,30.310147,1,17,1,1,55,16,1900.0,1,0,1,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,202,0,1,1,1,1,1,1,1,1,0,0,0,1,0.0,0.0,160.0,0,0,0,0,0,0,0,0,0,0,3,1,0,3,2,2389,4,3,9,2,12.0,2,1,0,4,2,3
2742,120.181822,30.332856,1,15,1,0,43,49,3700.0,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,0,0,0,0,226,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,55.0,1,0,0,0,0,0,0,0,0,0,6,2,0,3,0,-1,4,11,9,1,55.0,1,1,0,1,4,5
2743,120.202881,30.294285,1,7,1,0,6,7,5950.0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,0,271,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,168.0,0,0,0,0,0,0,0,0,0,0,3,2,0,3,3,629,3,5,9,2,168.0,2,1,0,4,3,5
2744,120.198888,30.263852,1,12,1,0,70,19,2700.0,1,1,1,1,1,0,1,0,1,0,1,1,1,1,1,1,0,0,0,314,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,38.0,1,0,0,0,0,0,0,0,0,0,3,2,0,3,7,130,4,9,9,0,38.0,1,1,0,1,1,5
2745,120.338327,30.313136,1,17,1,1,2,90,1400.0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,46,0,1,1,1,1,1,1,1,1,1,1,1,1,0.0,0.0,130.0,0,0,0,0,0,0,0,0,0,0,1,1,0,3,4,516,3,10,10,1,10.0,1,1,0,3,3,1
2746,120.338327,30.313136,1,33,0,4,2,90,1700.0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,46,0,1,1,1,1,1,1,1,0,1,0,0,1,0.0,0.0,89.0,0,0,0,0,0,0,0,0,0,0,1,1,0,3,4,516,3,18,9,1,20.0,1,1,0,3,3,1
2747,120.187957,30.265291,1,18,0,0,63,39,4600.0,1,1,1,1,1,1,1,0,1,0,1,0,1,1,1,1,0,0,0,246,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,50.0,0,0,0,0,0,0,0,0,0,0,6,2,0,0,8,653,3,8,4,1,50.0,1,1,0,1,3,5
2748,120.22252636,30.19385939,1,6,1,1,8,22,1800.0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,70,0,1,1,1,1,1,1,1,1,0,0,0,1,0.0,0.0,100.0,1,0,0,0,0,0,0,0,0,0,4,1,0,3,3,785,3,4,9,1,15.0,1,1,0,3,3,1
2749,120.396634,30.306382,1,29,1,8,3,6,3400.0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,108,0,1,1,1,1,1,1,1,1,1,1,1,1,0.0,0.0,89.0,0,0,0,0,0,0,0,0,0,0,1,2,0,3,2,1066,3,20,9,1,89.0,1,1,0,2,3,5
2750,120.388757,30.3178475,1,20,1,1,3,116,1500.0,1,1,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,153,0,1,1,1,1,1,1,1,1,0,0,0,1,0.0,0.0,120.0,0,0,0,0,0,0,0,0,0,0,1,1,0,3,2,711,3,14,9,1,20.0,1,1,0,3,3,1
2751,120.29389306,30.16934756,1,19,1,8,31,8,3100.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,651,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,60.0,0,0,0,0,0,0,0,0,0,0,7,2,0,0,1,2219,4,12,9,1,60.0,1,1,0,1,1,5
2752,120.18132019,30.26079559,1,5,1,0,11,20,4200.0,1,1,1,1,1,1,1,0,1,0,0,0,1,1,0,1,0,0,0,211,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,69.0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,8,1176,3,2,1,1,69.0,1,1,0,2,3,5
2753,120.383071,30.289895,1,29,1,1,3,206,1250.0,1,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,3,0,1,1,1,1,1,1,1,1,0,0,0,1,0.0,0.0,186.0,1,1,0,0,0,0,0,0,0,0,1,1,0,3,1,991,3,17,9,2,19.0,2,1,0,4,3,1
2754,120.12423706,30.30378342,1,50,1,0,33,9,2600.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,652,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,60.0,1,0,0,0,0,0,0,0,0,0,8,2,0,3,1,1908,2,14,9,1,60.0,1,1,0,1,3,5
2755,120.18468541,30.24676755,1,7,1,0,78,18,4800.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,499,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,88.0,1,0,0,0,0,0,0,0,0,0,0,2,0,3,2,629,4,3,1,2,88.0,1,1,0,2,3,5
2756,120.237636,30.20274,1,35,1,4,28,55,2100.0,1,0,1,0,0,0,1,1,1,1,1,1,0,1,1,0,0,0,0,219,0,1,1,0,1,1,1,0,0,1,1,1,1,0.0,0.0,120.0,1,0,0,0,0,0,0,0,0,0,4,1,0,0,3,1734,3,25,9,1,20.0,1,1,0,4,1,1
2757,120.201211,30.2401893,1,7,1,0,54,15,5700.0,1,1,1,1,1,1,1,0,1,0,1,0,1,1,1,1,0,0,0,534,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,55.0,1,0,0,0,0,0,0,0,0,0,3,2,0,3,5,467,3,5,9,1,55.0,1,1,0,2,1,5
2758,120.21455,30.21429,1,30,1,0,8,22,4500.0,1,1,1,1,1,1,1,1,0,0,1,0,1,1,0,1,0,0,0,255,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,53.0,0,0,0,0,0,0,0,0,0,0,4,2,0,3,2,1128,3,20,9,1,53.0,1,1,0,1,4,5
2759,120.18898773,30.26618385,1,7,1,8,63,26,4250.0,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,0,0,0,237,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,70.0,0,0,0,0,0,0,0,0,0,0,6,2,0,3,8,639,4,6,9,2,70.0,1,1,0,2,3,5
2760,120.233045,30.232046,1,29,1,1,28,24,1800.0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,318,0,1,1,1,1,1,1,1,1,0,0,0,1,0.0,0.0,120.0,1,0,0,0,0,0,0,0,0,0,4,1,0,3,0,-1,3,9,9,1,15.0,1,1,0,4,3,1
2761,120.181355,30.284431,1,20,1,1,15,19,2100.0,1,1,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,306,0,1,1,1,1,1,1,1,1,0,0,0,1,0.0,0.0,120.0,0,0,0,0,0,0,0,0,0,0,6,1,0,3,6,1029,3,8,9,1,15.0,1,1,0,3,3,1
2762,120.141434,30.3241124,1,30,0,1,35,7,1800.0,1,1,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,341,0,1,1,1,1,1,1,1,1,0,1,0,1,0.0,0.0,115.0,0,0,0,0,0,0,0,0,0,0,8,1,0,3,0,-1,3,12,9,2,23.0,2,1,0,3,3,1
2763,120.373976,30.276812,1,33,1,6,3,6,1450.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,653,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0,160.0,0,0,0,0,0,0,0,0,0,0,1,1,0,3,0,-1,1,12,9,2,16.0,2,1,0,5,4,2
2764,120.18090057,30.29515648,1,28,1,0,15,13,8100.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,506,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,138.0,1,0,0,0,0,0,0,0,0,0,6,2,0,3,3,750,3,26,9,2,138.0,2,1,0,3,4,5
2765,120.20343,30.257984,1,7,1,0,14,14,4800.0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,0,0,0,204,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,65.0,1,0,0,0,0,0,0,0,0,0,3,2,0,3,10,982,3,1,9,1,65.0,1,1,0,2,1,5
2766,120.18898773,30.26618385,1,7,0,0,63,26,4500.0,1,1,1,1,1,1,1,0,1,1,0,0,1,0,0,1,0,0,0,237,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,80.0,0,0,0,0,0,0,0,0,0,0,6,2,0,0,8,639,3,2,1,1,80.0,1,1,0,3,1,5
2767,120.177288,30.283897,1,25,1,0,15,27,3650.0,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,0,0,0,209,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,41.0,1,0,0,0,0,0,0,0,0,0,6,2,0,3,7,861,3,15,9,1,41.0,1,1,0,1,3,5
2768,120.17620087,30.25060844,1,7,1,8,22,17,2950.0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,0,588,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,40.0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,4,301,3,5,9,1,40.0,1,1,0,1,1,5
2769,120.398808,30.310224,1,25,1,1,3,12,1350.0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,428,0,1,1,1,1,1,1,0,0,0,0,0,0,0.0,0.0,130.0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,1169,3,6,9,2,20.0,2,1,0,4,3,1
2770,120.392051,30.304663,1,32,1,1,3,9,1500.0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,242,0,1,1,1,1,1,1,0,1,0,0,0,0,0.0,0.0,150.0,0,0,0,0,0,0,0,0,0,0,1,1,0,3,3,765,3,2,9,1,20.0,2,1,0,4,3,1
2771,120.220473,30.2199037,1,33,1,0,28,12,5200.0,0,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,0,0,0,259,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,53.0,0,0,0,0,0,0,0,0,0,0,4,2,0,3,2,648,3,12,9,1,53.0,1,1,0,1,4,5
