index_id,room_longitude,room_latitude,total_agent,floor_total,owner_gender,room_name,scope_name,estate_house_quantity,room_money,rf_kt,rf_src,rf_yg,rf_bx,rf_wsj,rf_cf,rf_rsq,rf_kd,rf_yt,rf_drc,rf_xzt,rf_pc,rf_xyj,rf_sf,rf_szt,rf_dsj,rf_unknow,zhuanzu,keduanzu,estate_name,puf_no,puf_bx,puf_xyj,puf_kd,puf_rsq,puf_cf,puf_wsj,puf_kt,puf_sf,puf_nq,puf_wbl,puf_kx,puf_dsj,agent_money,commission_price,area,fdxh_zxgl,fdxh_agj,fdxh_bxy,fdxh_bhj,fdxh_ds,fdxh_yh,fdxh_drz,fdxh_srz,fdxh_nvsheng,fdxh_nansheng,region_name,rent_type,only_girl,brand_type,subway_nums,subway_least_distance,decoration,floor,room_direction,hall_num,room_area,wei_num,business_type,is_zhongjie,room_num,pay_method,room_type
16,114.18856812,22.56555939,1,18,2,0,292,3,5500.0,1,0,1,1,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,3412,0,1,1,0,1,0,0,1,1,0,0,0,0,0.0,0.0,74.0,0,0,0,0,0,0,0,0,0,0,42,2,0,0,0,-1,2,0,9,1,74.0,1,1,0,2,1,5
17,113.99552057,22.59819823,1,29,2,1,293,3,1900.0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,3413,0,0,0,0,0,1,1,0,0,0,0,0,0,0.0,0.0,82.0,0,0,0,0,0,0,0,0,0,0,43,1,1,0,1,1409,2,0,1,2,12.0,2,1,0,3,6,1
18,113.92907945,22.54778904,1,0,2,4,295,3,1100.0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,3416,0,0,0,0,0,1,1,0,0,0,0,0,0,0.0,0.0,60.0,0,0,0,0,0,0,0,0,0,0,43,1,0,0,3,1203,2,0,1,1,20.0,1,1,0,2,6,1
19,114.130417,22.549335,1,7,2,0,297,11,2500.0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,3418,0,0,0,1,0,0,1,0,0,0,0,0,0,0.0,0.0,60.0,0,0,0,0,0,0,0,0,0,0,42,2,0,0,15,241,2,0,9,1,60.0,1,1,0,1,1,5
20,114.05070098,22.5601198,1,33,2,0,298,5,9500.0,1,0,1,1,1,0,1,1,1,0,0,0,1,1,0,0,0,0,0,3419,0,1,1,1,1,0,1,1,1,1,0,0,0,0.0,0.0,113.0,0,0,0,0,0,0,0,0,0,0,40,2,0,0,10,417,2,0,9,2,113.0,2,1,0,3,1,5
21,114.136542,22.687046,1,0,2,1,299,9,1200.0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,3420,0,0,0,0,0,1,1,0,0,0,0,0,0,0.0,0.0,111.0,0,0,0,0,0,0,0,0,0,0,44,1,1,0,0,-1,2,0,1,2,16.0,1,1,0,3,6,1
22,114.05530513,22.69543753,1,32,2,0,218,4,4000.0,1,0,1,1,1,0,1,1,1,0,0,0,1,1,0,0,0,0,0,3421,0,1,1,1,1,0,1,1,1,0,0,0,0,0.0,0.0,76.0,0,0,0,0,0,0,0,0,0,0,39,2,0,0,0,-1,2,0,9,2,76.0,1,1,0,3,1,5
23,114.050464,22.617835,1,0,2,1,286,6,900.0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,3422,0,0,0,0,0,1,1,0,0,0,0,0,0,0.0,0.0,70.0,0,0,0,0,0,0,0,0,0,0,39,1,0,0,5,812,2,0,1,1,16.0,1,1,0,2,6,1
24,114.044738,22.622811,1,16,2,0,286,18,2500.0,1,0,1,0,1,0,1,1,1,0,0,0,1,1,0,0,0,1,0,3424,0,0,1,1,1,0,1,1,1,1,0,0,0,0.0,0.0,60.0,0,0,0,0,0,0,0,0,0,0,39,2,0,0,5,375,2,0,9,1,60.0,1,1,0,2,2,5
25,113.910789,22.516406,1,26,2,0,301,11,8500.0,1,0,1,1,1,0,1,1,1,0,0,0,1,1,0,0,0,0,0,3427,0,1,1,1,1,0,1,1,1,0,0,0,0,0.0,0.0,126.0,0,0,0,0,0,0,0,0,0,0,43,2,0,0,0,-1,2,0,9,2,126.0,2,1,0,4,1,5
26,114.04653931,22.52158737,1,33,2,0,302,8,3500.0,1,0,1,1,1,0,1,1,1,0,0,0,1,0,0,0,0,0,0,3429,0,1,1,1,1,0,1,1,0,0,0,0,0,0.0,0.0,35.0,0,0,0,0,0,0,0,0,0,0,40,2,0,0,5,877,2,0,9,0,35.0,0,1,0,1,1,5
27,113.896001,22.57149,1,7,2,4,291,3,1300.0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,3430,0,0,0,0,0,1,1,0,0,0,0,0,0,0.0,0.0,80.0,0,0,0,0,0,0,0,0,0,0,41,1,0,0,7,835,2,0,1,2,20.0,1,1,0,3,6,1
28,113.90756,22.5160126,1,17,2,0,301,14,4000.0,1,0,1,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,3431,0,1,1,0,1,0,0,1,1,0,0,0,0,0.0,0.0,48.0,0,0,0,0,0,0,0,0,0,0,43,2,0,0,0,-1,2,0,9,1,48.0,1,1,0,2,1,5
